id,vek,pohlavi,region,prijem,zenaty,deti,uver_auto,ucet_sporici,ucet_bezny,hypoteka,pep
ID12101,48,žena,centrum,17546.000000,ne,1.000000,ne,ne,ne,ne,ano
ID12102,40,muž,malomìsto,30085.100000,ano,3.000000,ano,ne,ano,ano,ne
ID12103,51,žena,centrum,16575.400000,ano,0.000000,ano,ano,ano,ne,ne
ID12104,23,žena,malomìsto,20375.400000,ano,3.000000,ne,ne,ano,ne,ne
ID12105,57,žena,venkov,50576.300000,ano,0.000000,ne,ano,ne,ne,ne
ID12106,57,žena,malomìsto,37869.600000,ano,2.000000,ne,ano,ano,ne,ano
ID12107,22,muž,venkov,8877.070000,ne,0.000000,ne,ne,ano,ne,ano
ID12108,58,muž,malomìsto,24946.600000,ano,0.000000,ano,ano,ano,ne,ne
ID12109,37,žena,pøedmìstí,25304.300000,ano,2.000000,ano,ne,ne,ne,ne
ID12110,54,muž,malomìsto,24212.100000,ano,2.000000,ano,ano,ano,ne,ne
ID12111,66,žena,malomìsto,59803.900000,ano,0.000000,ne,ano,ano,ne,ne
ID12112,52,žena,centrum,26658.800000,ne,0.000000,ano,ano,ano,ano,ne
ID12113,44,žena,malomìsto,15735.800000,ano,1.000000,ne,ano,ano,ano,ano
ID12114,66,žena,malomìsto,55204.700000,ano,1.000000,ano,ano,ano,ano,ano
ID12115,36,muž,venkov,19474.600000,ano,0.000000,ne,ano,ano,ano,ne
ID12116,38,žena,centrum,22342.100000,ano,0.000000,ano,ano,ano,ano,ne
ID12117,37,žena,malomìsto,17729.800000,ano,2.000000,ne,ne,ne,ano,ne
ID12118,46,žena,pøedmìstí,41016.000000,ano,0.000000,ne,ano,ne,ano,ne
ID12119,62,žena,centrum,26909.200000,ano,0.000000,ne,ano,ne,ne,ano
ID12120,31,muž,malomìsto,22522.800000,ano,0.000000,ano,ano,ano,ne,ne
ID12121,61,muž,centrum,57880.700000,ano,2.000000,ne,ano,ne,ne,ano
ID12122,50,muž,malomìsto,16497.300000,ano,2.000000,ne,ano,ano,ne,ne
ID12123,54,muž,centrum,38446.600000,ano,0.000000,ne,ano,ano,ne,ne
ID12124,27,žena,malomìsto,15538.800000,ne,0.000000,ano,ano,ano,ano,ne
ID12125,22,muž,centrum,12640.300000,ne,2.000000,ano,ano,ano,ne,ne
ID12126,56,muž,centrum,41034.000000,ano,0.000000,ano,ano,ano,ano,ne
ID12127,45,muž,centrum,20809.700000,ano,0.000000,ne,ano,ano,ano,ne
ID12128,39,žena,malomìsto,20114.000000,ano,1.000000,ne,ne,ano,ne,ano
ID12129,39,žena,centrum,29359.100000,ne,3.000000,ano,ne,ano,ano,ne
ID12130,61,muž,venkov,24270.100000,ano,1.000000,ne,ne,ano,ne,ano
ID12131,61,žena,venkov,22942.900000,ano,2.000000,ne,ano,ano,ne,ne
ID12132,20,žena,malomìsto,16325.800000,ano,2.000000,ne,ano,ne,ne,ne
ID12133,45,muž,pøedmìstí,23443.200000,ano,1.000000,ano,ano,ano,ne,ano
ID12134,33,žena,centrum,29921.300000,ne,3.000000,ano,ano,ne,ne,ne
ID12135,43,muž,pøedmìstí,37521.900000,ne,0.000000,ne,ano,ano,ne,ano
ID12136,27,žena,centrum,19868.000000,ano,2.000000,ne,ano,ano,ne,ne
ID12137,19,muž,venkov,10953.000000,ano,3.000000,ano,ano,ano,ne,ne
ID12138,36,žena,venkov,13381.000000,ne,0.000000,ano,ne,ano,ne,ano
ID12139,43,žena,malomìsto,18504.300000,ano,0.000000,ano,ano,ano,ne,ne
ID12140,66,žena,pøedmìstí,25391.500000,ne,2.000000,ne,ne,ano,ne,ne
ID12141,55,muž,malomìsto,26774.200000,ano,0.000000,ne,ne,ano,ano,ano
ID12142,47,žena,centrum,26952.600000,ano,0.000000,ano,ne,ano,ne,ne
ID12143,67,muž,malomìsto,55716.500000,ne,2.000000,ano,ano,ne,ne,ano
ID12144,32,žena,malomìsto,27571.500000,ano,0.000000,ano,ne,ano,ano,ne
ID12145,20,muž,centrum,13740.000000,ne,2.000000,ano,ano,ano,ano,ne
ID12146,64,muž,centrum,52670.600000,ano,2.000000,ne,ano,ano,ano,ano
