ID,LONGDIST,International,LOCAL,DROPPED,PAY_MTHD,LocalBillType,LongDistanceBillType,AGE,SEX,STATUS,CHILDREN,Est_Income,Car_Owner,No phone lines
1001,24.026900,0.000000,129.429000,0,"CC","FreeLocal","Intnl_discount",90,"M","S",0,8513.140000,"N",
1002,21.778800,0.000000,118.957000,0,"CC","Budget","Standard",59,"F","S",2,50712.900000,"Y",
1003,23.933200,0.000000,5.978270,0,"CC","Budget","Intnl_discount",87,"M","S",0,37882.500000,"N",
1004,0.000000,0.000000,0.731089,0,"CC","FreeLocal","Standard",75,"F","M",0,41138.200000,"N",
1005,22.437900,0.000000,107.181000,0,"CH","Budget","Standard",25,"M","M",2,40774.200000,"N",
1006,24.003200,0.000000,61.280200,0,"CH","Budget","Standard",96,"M","M",1,,"N",
1007,29.538600,0.000000,98.260500,0,"CC","Budget","Standard",50,"M","S",2,86905.400000,"Y",
1008,25.323700,0.000000,45.121600,0,"CC","Budget","Intnl_discount",61,"M","M",1,18307.400000,"N",
1009,13.683000,0.000000,166.827000,0,"Auto","Budget","Standard",83,"M","S",0,90513.200000,"N",
1010,25.862100,0.000000,51.730600,0,"Auto","Budget","Standard",64,"F","S",0,97524.500000,"N",
1011,19.733000,0.000000,71.320000,1,"CC","FreeLocal","Intnl_discount",81,"F","M",1,70052.000000,"N",
1012,2.472670,4.407920,107.695000,1,"CC","FreeLocal","Intnl_discount",46,"F","S",0,50451.600000,"N",
1013,5.604000,0.000000,50.882100,0,"Auto","FreeLocal","Intnl_discount",64,"M","M",2,98855.500000,"N",
1014,15.288900,0.000000,52.279800,1,"CC","Budget","Standard",44,"M","M",1,91008.700000,"Y",
1015,2.374570,9.950900,81.768000,0,"Auto","FreeLocal","Standard",35,"M","M",2,15269.100000,"N",
1016,10.980600,9.574380,65.032200,0,"CC","FreeLocal","Standard",64,"F","M",2,56412.500000,"N",
1017,0.000000,0.000000,3.900060,0,"CC","FreeLocal","Standard",21,"M","M",0,25330.700000,"N",
1018,0.000000,0.000000,4.113080,1,"CH","FreeLocal","Intnl_discount",79,"F","S",1,38777.700000,"N",
1019,3.451890,4.182770,117.344000,0,"Auto","Budget","Standard",76,"F","M",0,35697.500000,"N",
1020,1.184140,0.000000,33.623500,0,"CC","Budget","Standard",80,"F","M",1,86618.800000,"N",
1021,7.040220,0.000000,47.932700,0,"Auto","FreeLocal","Standard",69,"M","M",1,38302.700000,"N",
1022,2.502270,0.000000,31.993200,0,"Auto","FreeLocal","Standard",67,"M","M",0,26369.200000,"N",
1023,5.517780,0.000000,16.051600,0,"CC","FreeLocal","Standard",18,"M","S",2,19546.600000,"N",
1024,13.623600,0.000000,28.228300,0,"CC","FreeLocal","Standard",54,"M","M",0,68438.300000,"N",
1025,4.996310,0.682405,56.109800,0,"CC","Budget","Intnl_discount",19,"F","S",0,,"N",
1026,11.429600,0.000000,37.943900,0,"CC","FreeLocal","Standard",66,"F","S",1,56562.900000,"N",
1027,4.052150,1.160750,93.466600,0,"CC","FreeLocal","Intnl_discount",65,"F","S",0,35219.600000,"Y",
1028,9.999930,0.000000,101.674000,0,"CH","FreeLocal","Intnl_discount",50,"M","M",1,19301.300000,"Y",
1029,0.000000,0.000000,4.999420,0,"CH","Budget","Intnl_discount",29,"F","S",1,21529.100000,"N",
1030,16.798600,0.000000,268.958000,0,"CC","Budget","Standard",47,"M","S",2,23511.400000,"Y",
1031,0.000000,0.000000,3.365710,1,"CH","Budget","Intnl_discount",59,"F","M",2,36660.900000,"Y",
1032,21.640000,0.000000,87.400400,0,"CC","Budget","Standard",30,"F","M",0,2031.610000,"N",
1033,1.339160,0.000000,23.773400,0,"CC","FreeLocal","Standard",85,"M","S",0,57933.100000,"Y",
1034,26.960700,0.305743,79.548200,1,"CC","Budget","Standard",31,"M","S",2,14690.100000,"N",
1035,0.000000,0.000000,2.314630,0,"Auto","Budget","Standard",61,"F","M",1,79324.700000,"Y",
1036,22.823400,0.000000,63.298200,0,"CC","FreeLocal","Standard",84,"F","S",1,60362.100000,"N",
1037,23.412700,0.000000,85.215600,0,"CH","FreeLocal","Intnl_discount",89,"M","S",0,51669.000000,"N",
1038,12.537200,0.000000,311.290000,0,"CC","Budget","Standard",21,"F","S",0,45612.900000,"N",
1039,0.000000,0.000000,0.353182,0,"CC","Budget","Standard",63,"M","M",1,9049.570000,"N",
1040,13.116900,0.000000,43.958100,0,"CC","Budget","Standard",75,"F","M",0,16814.100000,"Y",
1041,23.332800,0.000000,64.949100,0,"Auto","FreeLocal","Standard",55,"F","M",0,53755.700000,"N",
1042,11.681300,0.000000,51.920100,0,"CH","FreeLocal","Intnl_discount",57,"M","M",2,66634.900000,"N",
1043,24.651900,0.000000,48.537500,0,"CC","Budget","Intnl_discount",65,"F","M",0,17700.400000,"N",
1044,0.000000,0.000000,4.389610,0,"CH","FreeLocal","Standard",90,"M","M",1,5257.650000,"N",
1045,1.559520,9.029660,15.177600,1,"CC","Budget","Standard",53,"M","M",1,18672.000000,"Y",
1046,12.857700,0.035519,156.512000,0,"CC","Budget","Intnl_discount",18,"F","M",0,13441.500000,"N",
